group,sheep_id,record_date,record_num,M,A,phi,r_squared,percent_1_min,percent_1_max,percent_5_min,percent_5_max,percent_10_min,percent_10_max,percent_20_min,percent_20_max,percent_30_min,percent_30_max,percent_40_min,percent_40_max,percent_45_min,percent_45_max
M,M0142,2023-02-14,288,39.6287223463541,0.2343924048698623,-1.3951541468573343,0.2565221741926542,39.050851837590514,40.36829590535187,39.175580270041294,40.16561220261936,39.22235343221034,40.07206587828127,39.28471764843572,39.939541918802334,39.38605949980199,39.85379112149242,39.48740135116823,39.7056761079571,39.565356621449965,39.66669847281624
M,M0142,2023-02-15,288,39.453214717013886,0.32915717817023626,1.3482523456824147,0.4722451881544155,38.933918932167884,40.64893487836615,38.98848762136511,40.10844500441275,39.0820339457032,39.98631508097135,39.21455790518216,39.62772083767537,39.26133106735121,39.54976556739364,39.3158997565484,39.4718102971119,39.35487739168927,39.425037134942855
M,M0142,2023-02-16,288,39.725367934035575,0.5298575972169685,1.7943274460810346,0.4977915691087764,38.809190499717104,40.64893487836615,38.9027368240552,40.56692593402976,38.97289656730875,40.4852288107745,39.183375797069445,40.35270485129554,39.425037134942855,40.02529271611223,39.54976556739364,39.86158664852057,39.5887432025345,39.791426905267016
M,M0142,2023-02-17,288,39.54343170166521,0.2868469467928166,0.4086497379109557,0.29916842892666307,38.92612340513973,40.24356747290109,39.00407867542147,40.16561220261936,39.050851837590514,40.08765693233762,39.183375797069445,39.95513297285866,39.3158997565484,39.73685821606979,39.41724160791468,39.59653872956268,39.45621924305554,39.55863633952913
M,M0142,2023-02-18,288,39.480268985375645,0.8087938957598708,1.2661379598505333,0.7587085725532974,38.24791255368861,41.19462177033832,38.567868097801465,40.66452593242248,38.711576943886065,40.50681642408328,38.9027368240552,40.09095503992648,39.159989215984936,39.65110741875988,39.23014895923849,39.49519687819641,39.30030870249208,39.45621924305554
M,M0142,2023-02-19,288,39.56719723196956,0.6314503013436629,1.168491267445819,0.7752046975164942,38.48957389156199,40.51752456560549,38.73903075646355,40.4228645945491,38.941714459196064,40.37275049222512,39.11321605381589,40.06427035125312,39.33120208738149,39.84599559446424,39.41724160791468,39.60433425659083,39.44842371602736,39.53417451333728
M,M0142,2023-02-20,288,39.64815702832215,0.6247633326728143,1.4115370860154586,0.761039543383568,38.73123522943537,40.78145883784511,38.88714576999884,40.64533694281467,38.94950998622424,40.4852288107745,39.30030870249208,40.10324798639398,39.37046844574563,39.86938217554875,39.4718102971119,39.674493999844415,39.48740135116823,39.58094767550632
M,M0142,2023-02-21,287,39.97569420708585,0.7644467690871155,1.7753899990964184,0.6727291925003771,39.01135450064776,41.35832783792996,39.12880710787225,41.23359940547918,39.25353554032303,41.10107544600022,39.43750997818793,40.73468567567606,39.55184437460115,40.12663456747849,39.64331189173173,39.9785195539432,39.71399133678717,39.86158664852057
M,M0142,2023-02-22,288,39.54075198923765,0.5086018750759335,0.9177273927490621,0.6230427054630954,38.551938107787365,40.570979608084414,38.6922575942945,40.4164131239051,38.9651010402806,40.173407729647536,39.21455790518216,39.86938217554875,39.28471764843572,39.74465374309797,39.38605949980199,39.65890294578806,39.46401477008372,39.61212978361901
M,M0142,2023-02-23,288,39.51743307768837,0.2831232559106044,1.5311162995452283,0.2932363284548797,38.92976131775286,40.36829590535187,39.043056310562335,40.24356747290109,39.15609145247085,40.16561220261936,39.23014895923849,39.923950864745976,39.29537153537423,39.58094767550632,39.33928633763294,39.44842371602736,39.37046844574563,39.425037134942855
M,M0142,2023-02-24,286,39.51735423726254,0.18722147813026882,1.15975013581572,0.11986584395290922,38.70005312132268,40.46184222968997,38.86375918891433,40.173407729647536,39.0555291538074,40.08765693233762,39.26133106735121,39.83820006743606,39.32369528357658,39.690085053900745,39.40165055385832,39.541970040365456,39.425037134942855,39.50299240522459
M,M0142,2023-02-25,288,39.41151676775206,0.4743910828659646,0.7954608794242265,0.6606986105108723,38.63768890509728,40.321522743182825,38.77021286457624,40.0330882431404,38.84037260782982,39.95513297285866,39.07535206539334,39.90056428366144,39.14968798384057,39.674493999844415,39.23794448626667,39.45621924305554,39.30810422952023,39.40165055385832
M,M0142,2023-02-26,288,39.837915855523555,0.47940440278926155,0.4059370276374036,0.7213229951491699,38.92157601437328,40.56318408105624,39.15219368895676,40.438455648605455,39.31525012929607,40.35270485129554,39.43283266197104,40.18899878370389,39.60433425659083,40.04867929719676,39.77583585121066,39.96292849988684,39.84599559446424,39.939541918802334
M,M0142,2023-02-27,287,39.76727625651654,0.38363795255165317,-1.4037416952368373,0.333266943288268,38.528551526702856,40.63334382430979,38.723439702407205,40.438455648605455,39.11321605381589,40.36829590535187,39.51078793225277,40.196794310732045,39.61212978361901,39.9785195539432,39.66669847281624,39.90835981068962,39.7056761079571,39.84599559446424
M,M0142,2023-02-28,288,39.79394421086983,0.2292988247957095,-1.2363887836711585,0.22916467802993445,39.16778474301312,40.80484541892962,39.25353554032303,40.46184222968997,39.37046844574563,40.175048893232415,39.5263789863091,40.04867929719676,39.61212978361901,39.93174639177416,39.682289526872594,39.85379112149242,39.7056761079571,39.814813486351525
M,M0142,2023-03-01,288,39.780139631757585,0.43406512660250657,0.9031413287969142,0.6671865227128978,38.87935024297069,40.570979608084414,39.0196697294778,40.25915852695745,39.217898845337096,40.19456701729543,39.44842371602736,40.15948714566864,39.64331189173173,40.02529271611225,39.72906268904164,39.86938217554875,39.791426905267016,39.84599559446424
